Cartella,File,Phi_Value,Kuramoto_r,Delta_Invariante,Inferred_State
AUTO_SYSTEM,yhat_exact_c.csv,2.36e+02,0.0722,0.7778,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_exact_nc.csv,2.36e+02,0.1166,0.7334,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_poisson_652.csv,3.09e+03,0.3513,0.4987,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_poisson.csv,3.09e+03,0.3513,0.4987,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,AUDIT_PIPELINES_1068.csv,3.56e+02,815.3528,814.5028,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,bds_data.csv,9.86e+02,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,master_edf_scan.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,gee_logistic_1_1095.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme10.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64-testset-2_1096.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-2_1069.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,chb_earlywarning_metrics_1179.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,batch_summary_partial.csv,1.06e+02,110.98,110.13,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arccos_1103.csv,1.10e+00,6493.3938,6492.5438,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-exp_1087.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-log10_1120.csv,1.39e+00,6627.7026,6626.8526,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log10.csv,1.39e+00,7061.814,7060.964,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-sinh_1080.csv,6.93e-01,6795.1171,6794.2671,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,Artemis123_mneLoc.csv,9.92e+01,0.5774,0.2726,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,autos_exog_1132.csv,2.08e+01,2588.5235,2587.6735,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,fertility_1154.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,medparlogresids_1145.csv,1.03e+04,0.0313,0.8187,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-2_1161.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,pcg64dxsm-testset-2_1142.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,philox-testset-2_1088.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-arccosh_1164.csv,6.93e-01,6719.2286,6718.3786,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arccosh_1182.csv,6.93e-01,7109.8113,7108.9613,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arcsin_1140.csv,1.39e+00,6376.3665,6375.5165,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arcsinh.csv,6.93e-01,6858.5546,6857.7046,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arctanh_1141.csv,6.93e-01,6697.3208,6696.4708,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-expm1_1153.csv,1.10e+00,6665.4814,6664.6314,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,iris_1232.csv,5.02e+01,0.2265,0.6235,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,nile.csv,4.43e+02,0.0014,0.8486,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mar_filardo.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,influence_measures_bool_R.csv,1.39e+02,0.005,0.845,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,2016-07-29_1306.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-arctanh_1229.csv,6.93e-01,6908.6508,6907.8008,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log10_1205.csv,1.39e+00,6794.1268,6793.2768,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,co2_1260.csv,6.14e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,stata_medpar1_glm.csv,4.97e+03,22.3595,21.5095,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,2016-06-29_1192.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,age_records_1293.csv,5.52e+01,0.0122,0.8378,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,age_records.csv,5.52e+01,0.0122,0.8378,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-log10_1210.csv,1.39e+00,6860.6428,6859.7928,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,bds_data_1246.csv,9.86e+02,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,wine_data_1223.csv,8.14e+02,0.0009,0.8491,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,dietox_1258.csv,2.74e+02,0.0005,0.8495,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,elec_equip.csv,5.50e+02,0.0163,0.8337,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lasso_data_1328.csv,1.51e+03,0.0013,0.8487,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,inventory_EEG_MOTOR.csv,3.50e+03,73.0553,72.2053,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,master_edf_scan_1266.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,master_ok_1290.csv,4.65e+03,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-2_1334.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,grunfeld.csv,8.67e+02,0.0005,0.8495,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,rand10000_1361.csv,5.27e+03,0.0065,0.8435,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-arcsinh_1339.csv,6.93e-01,6903.424,6902.574,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-exp2_1351.csv,6.93e-01,6972.9525,6972.1025,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-expm1_1269.csv,1.10e+00,6667.1721,6666.3221,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,star98_1374.csv,2.57e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-log2_1346.csv,1.10e+00,6821.3164,6820.4664,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tanh_1316.csv,0.00e+00,24462.9193,24462.0693,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tanh_1344.csv,0.00e+00,24414.9919,24414.1419,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,age_records_1532.csv,5.52e+01,0.0122,0.8378,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,autos_1684.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,cataneo2_1586.csv,2.78e+04,0.0004,0.8496,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,cancer_1579.csv,1.22e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,engel_1397.csv,1.29e+03,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,elec_equip_1530.csv,5.50e+02,0.0163,0.8337,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,cataneo2.csv,2.78e+04,0.0004,0.8496,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,dosenbach_2010_1523.csv,1.10e+02,0.0062,0.8438,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,grunfeld_1618.csv,8.67e+02,0.0005,0.8495,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,gee_linear_1_1602.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,gee_nested_linear_1_1589.csv,1.38e+02,0.0051,0.8449,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme01.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,Artemis123_mneLoc_1647.csv,9.92e+01,0.5774,0.2726,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,cubic_cyclic_splines_from_mgcv_1608.csv,2.77e+02,0.0025,0.8475,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,cubic_cyclic_splines_from_mgcv.csv,2.77e+02,0.0025,0.8475,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,iris_1688.csv,5.00e+01,0.2262,0.6238,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme01_1454.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme06_1447.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme10_1630.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme11_1439.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme00_1665.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,logit_gam_mgcv_1487.csv,1.38e+02,0.005,0.845,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,macrodata_1513.csv,7.85e+02,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mar_filardo_1621.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,inv_gaussian_1683.csv,1.16e+04,0.4813,0.3687,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,nile_1455.csv,4.43e+02,0.0014,0.8486,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-1_1394.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,racd10data_with_transformed_1527.csv,2.18e+04,0.0516,0.7984,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-arctan_1445.csv,1.10e+00,6337.2034,6336.3534,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cos_1497.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-cosh_1392.csv,1.10e+00,6541.3956,6540.5456,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-cosh_1594.csv,1.10e+00,6488.851,6488.001,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-exp_1672.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-exp2_1639.csv,6.93e-01,7042.4644,7041.6144,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arccos_1604.csv,1.10e+00,6757.0451,6756.1951,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-arcsinh_1494.csv,6.93e-01,6733.1753,6732.3253,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-sin_1566.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-sinh_1625.csv,6.93e-01,6803.6846,6802.8346,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tan_1427.csv,1.39e+00,6479.8412,6478.9912,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tanh_1495.csv,0.00e+00,24514.4075,24513.5575,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,sfc64-testset-1_1676.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-2_1509.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,uci_risk_with_alarms.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,stata_lbw_glm.csv,3.96e+02,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,stata_medpar1_glm_1673.csv,4.97e+03,22.405,21.555,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,stata_lbw_glm_1700.csv,3.96e+02,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sm3533_1713.csv,1.53e+03,0.0144,0.8356,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_exact_nc_1464.csv,2.36e+02,0.1166,0.7334,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,sfc64-testset-1_1698.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_matlab_ssm_1027.csv,4.80e+01,0.301,0.549,FLUSSO DINAMICO (Healthy)
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_matlab_ssm.csv,4.80e+01,0.301,0.549,FLUSSO DINAMICO (Healthy)
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_stata_1040.csv,6.09e+01,0.0209,0.8291,FLUSSO DINAMICO (Healthy)
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_stata.csv,6.09e+01,0.0209,0.8291,FLUSSO DINAMICO (Healthy)
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_missing_ar3_matlab_ssm_966.csv,4.72e+01,0.3075,0.5425,FLUSSO DINAMICO (Healthy)
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_missing_ar3_matlab_ssm.csv,4.72e+01,0.3075,0.5425,FLUSSO DINAMICO (Healthy)
GROUP_STATS,results_intercepts_R.csv,7.74e+02,0.0022,0.8478,FLUSSO DINAMICO (Healthy)
GROUP_STATS,results_kde_fft_593.csv,1.22e+00,3.3795,2.5295,FASE CRITICA (Rischio Collasso)
GROUP_STATS,results_kde_fft.csv,1.22e+00,3.3786,2.5286,FASE CRITICA (Rischio Collasso)
GROUP_STATS,results_kde.csv,4.10e+00,6.2298,5.3798,FASE CRITICA (Rischio Collasso)
GROUP_STATS,results_tweedie_aweights_nonrobust.csv,4.16e+03,1.2219,0.3719,FASE CRITICA (Rischio Collasso)
GROUP_STATS,rgnpq_983.csv,1.86e+00,0.7137,0.1363,FLUSSO DINAMICO (Healthy)
GROUP_STATS,rgnpq.csv,1.86e+00,0.7137,0.1363,FLUSSO DINAMICO (Healthy)
GROUP_STATS,siena_PN_segments_120s_MAX20_stream_989.csv,5.81e+02,0.0004,0.8496,FLUSSO DINAMICO (Healthy)
GROUP_STATS,siena_PN_segments_120s_MAX20_stream.csv,5.81e+02,0.0004,0.8496,FLUSSO DINAMICO (Healthy)
GROUP_STATS,siena_PN_segments_120s_STEP2_stream_1049.csv,6.82e+02,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
GROUP_STATS,siena_PN_segments_120s_STEP2_stream.csv,6.82e+02,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
GROUP_STATS,batch_summary_final_1336.csv,1.06e+02,126.7123,125.8623,FASE CRITICA (Rischio Collasso)
GROUP_STATS,formula_test_all_20260215_100355_1491.csv,1.84e+03,0.0025,0.8475,FLUSSO DINAMICO (Healthy)
seizure&windows,umath-validation-set-arcsinh_1714.csv,6.93e-01,6925.5999,6924.7499,FASE CRITICA (Rischio Collasso)
seizure&windows,umath-validation-set-exp_1699.csv,nan,,,FLUSSO DINAMICO (Healthy)
seizure&windows,umath-validation-set-log_1733.csv,nan,,,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_labeled_268.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_labeled_666.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_labeled.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_scored_preictal_index_150.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_scored_preictal_index_244.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_scored_preictal_index_553.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_scored_preictal_index_1016.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
seizure&windows,windows_scored_preictal_index.csv,3.30e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
Robustness_Checks,batch_rank_by_consistency_1432.csv,1.47e+02,111.4401,110.5901,FASE CRITICA (Rischio Collasso)
Robustness_Checks,batch_summary_partial_1731.csv,1.06e+02,111.0804,110.2304,FASE CRITICA (Rischio Collasso)
DATASET_SPECIFIC_RESULTS,neurocore_full_dataset_audit.csv,3.53e+01,129.255,128.405,FASE CRITICA (Rischio Collasso)
NEUROCORE_IRCCS_INDEX,inventory_full.csv,1.59e+02,97.4124,96.5624,FASE CRITICA (Rischio Collasso)
PURSUE_LRP_ERN_Flanker,robotics_control_table.csv,1.13e+02,0.0061,0.8439,FLUSSO DINAMICO (Healthy)
Face_Processing,ds002718_faceproc_20260222_093430__ERP_WINDOW_FEATURES.csv,4.35e+02,0.0531,0.7969,FLUSSO DINAMICO (Healthy)
Face_Processing,ds002718_faceproc_20260222_093430__EVENTS_COUNTS.csv,4.35e+02,0.0104,0.8396,FLUSSO DINAMICO (Healthy)
India+Tanzania,INDIA__df_z.csv,nan,,,FLUSSO DINAMICO (Healthy)
India+Tanzania,INDIA__Z.csv,5.03e+03,22167.37,22166.52,FASE CRITICA (Rischio Collasso)
India+Tanzania,INDIA__subset.csv,2.32e+03,22259.0476,22258.1976,FASE CRITICA (Rischio Collasso)
India+Tanzania,INDIA__top_windows.csv,nan,,,FLUSSO DINAMICO (Healthy)
India+Tanzania,INDIA__df0.csv,nan,,,FLUSSO DINAMICO (Healthy)
India+Tanzania,INDIA__df_z__dup__1771539594.csv,nan,,,FLUSSO DINAMICO (Healthy)
India+Tanzania,INDIA__Z__dup__1771539594.csv,5.03e+03,22161.8899,22161.0399,FASE CRITICA (Rischio Collasso)
India+Tanzania,INDIA__subset__dup__1771539614.csv,2.32e+03,22272.2699,22271.4199,FASE CRITICA (Rischio Collasso)
India+Tanzania,INDIA__top_windows__dup__1771539632.csv,nan,,,FLUSSO DINAMICO (Healthy)
India+Tanzania,INDIA__df0__dup__1771539632.csv,nan,,,FLUSSO DINAMICO (Healthy)
MDD,lme03_1720.csv,6.86e+01,0.0103,0.8397,FLUSSO DINAMICO (Healthy)
MDD,mstl_test_results_1493.csv,1.95e+04,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_earlywarning_metrics_703.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_earlywarning_metrics.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_300.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_338.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_530.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_874.csv,1.75e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_881.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_preictal_baseline_ready_425.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_preictal_baseline_ready_569.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_preictal_baseline_ready_613.csv,nan,,,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_preictal_baseline_ready.csv,5.54e+03,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_141.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_180.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_404.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_431.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_632.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_735.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_1024.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries_167.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries_224.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries_272.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries_1065.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_216.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_322.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_335.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_669.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_865.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_948.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_199.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_276.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_367.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_385.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_676.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_720.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_727.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_900.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_211.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_294.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_395.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_396.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_429.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_549.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_612.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_698.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_759.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_1060.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,transitions_336.csv,5.22e+02,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_1094.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_1097.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries_1119.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,chb02_17_delta_corr_timeseries_1122.csv,1.28e+03,0.0003,0.8497,FLUSSO DINAMICO (Healthy)
CHBMIT,epil.csv,1.63e+02,0.0042,0.8458,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_ictal_features_1187.csv,2.33e+05,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_1172.csv,6.41e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb_window_timeseries_sample_1282.csv,3.23e+02,0.0016,0.8484,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1264.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1322.csv,6.40e+02,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
